콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
ms-VUq3icaw,마라탕은 풀이라서 살 안 쪄,"Jan 13, 2025",754,9839,841.1507,8,20460.436,168704,4.96
Uof8UNG_ZQ0,스팸 구워서 먹방입니다!!,"Feb 25, 2025",765,9442,775.718,9,18342.906,137516,5.14
xY-g5Rwvjxw,4만원짜리 젤리 #스웨디시젤리,"Sep 26, 2024",56,9418,53.0357,3,1085.764,43703,3.05
ANi79ctT20k,저 양보다 질입니다 제육 먹방,"Feb 11, 2024",891,9257,1061.2793,5,21275.76,91164,5.78
QR9qSyDba0g,뒷먹방,"Mar 15, 2023",42,9134,53.7542,2,1337.217,34180,4.41
GcjEd8gu_z4,야스,"Oct 4, 2024",39,9065,36.5947,0,1283.029,23779,2.76
MIE-9or4IfA,추억의 간장계란밥,"Jul 15, 2023",56,8844,61.7457,2,1380.957,25580,2.6
06atSFIwoPE,캡사이신부대찌개 먹방인데 즐겨버렸다,"Nov 26, 2024",955,8773,913.3242,4,19721.14,128364,4.89
o4Ahzr1jEQo,요즘 애들은 쟁반노래방 모르나 쟁반짜장 먹방,"Dec 12, 2023",915,8725,864.215,4,18436.575,96876,7.24
Pqr_IlgrG2c,덜어 먹을 줄 아는 남자의 삼겹김치찜 먹방,"Nov 4, 2023",1040,8724,1249.7479,6,21837.281,83204,5.82
V4-eUTm25Tw,라떼는 엽떡에 교촌이 좋았는데,"Feb 6, 2025",722,8719,709.5174,9,20734.586,126616,5.42
wA79nHLy-OY,시래기는 소화가 안된다고 하던데 제로 찜닭 먹방입니다!!,"May 22, 2023",891,8635,853.8554,5,20041.864,96063,6.88
E_5pwDjWK0A,집에서 즉석떡볶이 풀코스 먹방,"Feb 21, 2025",819,8608,541.6494,4,14271.061,163097,3.65
OKTjGE_qG2Q,야외 먹방 일기 피시방,"Apr 22, 2018",178,8297,207.4428,10,9323.707,93283,7.13
gy9STpMijnA,성인용 컵떡볶이,"Aug 9, 2023",33,8122,42.0342,1,1264,58263,7.75
QsliB1ZkS7s,떡볶이 파티 먹방입니다!!,"Mar 17, 2025",1020,7936,1133.2343,2,22515.469,162817,2.66
kvoRTY7yFFo,집사!!도움!!!,"Apr 30, 2023",52,7866,50.9896,0,904.379,38394,4.29
FMjg3KjiOVs,죽었다 묵은지 김치찜 먹방입니다!!,"Jun 16, 2023",962,7764,718.2371,5,14517.874,93955,6.69
Ekg_Ta7ew3o,절식,"Sep 24, 2024",26,7730,31.2078,1,1123.293,16401,4.57
R9FUei5Q-3E,하나도 안 매운데요 매운 갈비찜,"Jun 29, 2024",819,7718,707.3514,1,16156.398,87253,5.33
bGrAPjpWxOk,냉김돈육비,"Nov 22, 2024",1045,7632,1027.2494,6,19997.242,117679,4.25
DfXOBmy4qsE,안다이어트 브이로그,"Aug 15, 2024",907,7630,960.0625,8,19098.895,114859,4.96
 -clFs-8hJwc,라떼 교회 특,"Sep 30, 2024",38,7572,28.2017,0,810.962,17002,0.99
BgpkCvnJY7k,배달시키기 아까운 음식 김치찌개 먹방입니다!!,"Dec 17, 2024",919,7515,689.4068,9,15688.595,118913,4.59
QNjLWA9YgT0,소통 가득 김밥 만들어 먹방입니다!!,"Jun 27, 2023",1079,7433,1225.5726,2,22415.817,65844,4.81
wKEXIKfebuE,당면가득 당면돼지김치찌개 먹방입니다!!,"May 20, 2023",873,7367,658.7034,4,14393.013,75460,7.11
yKOPMvjabzI,누가 대본유출했어 마트초밥 먹방입니다,"Oct 14, 2023",995,7170,971.0404,2,16778.341,64924,6.06
yVViJkd6CfA,다이어트 만두,"Jun 2, 2023",40,7150,34.6083,1,1044.599,3792,2.4
2rrxO6_pLvQ,야외먹방일기 간짬뽕,"May 20, 2022",60,7115,62.0162,4,1101.23,60262,5.03
abe_SxaAb2w,경주 가서 한 끼도 안 먹기,"Mar 22, 2024",1141,7077,1081.9343,1,18744.385,86976,5.22
aHVsCe9Bm-c,단백질은 살 안 찌는 거 아시죠 갑오징어구이 먹방,"Jun 8, 2023",1158,7070,1343.282,2,23238.725,47859,5.4
6op9HohJOIc,야외 먹방 일기 아웃백,"Aug 5, 2018",241,7012,209.932,5,9340.835,82640,6.75
azutFu0OCfs,아쉽지 않은 진도대파버거 먹방입니다!!,"Jul 18, 2023",1119,6924,1185.7819,2,19743.232,58376,4.83
34qNaqWS-uU,다이어트 컵라면,"Jun 8, 2023",22,6892,21.8474,4,837.69,14106,1.91
xXgLPOMamDA,덜어먹는 습관,"Jul 12, 2024",18,6892,19.41,2,880.641,35246,6.53
TXTaiLd1YbM,죄송합니다 새우탕봉지 먹방,"Mar 15, 2025",491,6861,328.0211,3,12084.194,145899,3.64
y6lIugXNgWY,밥 한 공기만 먹으려고 했었다 통스팸김치찌개,"Jun 15, 2024",854,6847,656.2216,6,15024.476,77135,7.27
2pJsWzCVhes,사람은 탄수화물을 먹어야 한다 새우소금구이 먹방,"Sep 30, 2023",1092,6845,1187.9616,1,20754.225,56382,5.36
 -uzi5XNgt2U,착하면 안되는 이유,"Sep 22, 2024",41,6793,37.7801,1,914.11,14555,0.91
UgqrG1FxEK4,몸에 나쁜음식 특,"Sep 20, 2024",22,6744,18.2486,1,772.504,14157,0.87
aoYfiOAJmUc,다이어트 라죽,"Jun 21, 2023",48,6690,41.1078,1,1007.604,40710,6.19
KfNEWCHNcFU,홀죽한 사람의 떡볶이 먹방입니다!!,"Oct 5, 2023",929,6682,747.7223,2,14355.936,80749,5.54
Jw0JwuEc-CQ,이거만 먹으면 얼마나 아쉬울까 먹태깡 먹방,"Feb 15, 2024",1162,6670,1266.0243,-1,20567.033,54859,4.36
P8E-xCugcec,몇 입 무니 없네 쌀국수 먹방입니다!!,"Oct 26, 2023",1103,6540,1002.0184,6,17612.118,59078,5.73
vyxv_LFVXlU,최저 못 받던 시절 특,"Sep 28, 2024",38,6502,22.5741,3,614.858,16400,0.99
dI3YhcRuDJE,날치알밥 가득 먹방입니다!!,"Mar 8, 2025",727,6456,526.8549,4,14123.602,120090,3.83
whfoy4BqDS4,후식 맛있게 먹는 방법 치맥 먹방입니다!!,"Apr 23, 2024",1100,6441,1018.3425,3,17990.564,70722,4.52
E6IBu3xeqWA,다이어트 식판에 짜장면,"May 30, 2023",42,6428,37.2379,2,971.33,15207,2.54
y-vYxE0kvUo,맛있는 반찬은 국그릇에,"May 22, 2023",29,6397,24.6763,0,785.866,9878,1.75
TZZnTn-s07U,이머전시춤,"Sep 18, 2024",19,6309,15.5509,2,796.164,17586,3.34
rVW2PV-jiBA,솔직히 먹는 양에 비해 말랐다 마라로제떡복이 먹방,"Feb 22, 2024",970,6273,862.5052,2,16640.633,53742,6.55
UB2XqqfM6Ck,탈모밥 먹방,"Feb 10, 2025",706,6249,449.8274,2,12456.062,95678,4.74
UIaBOAJwE8o,피부가 떨리는 매운맛 핵매운치킨 먹방,"Jul 12, 2022",695,6229,528.9608,5,13069.504,78035,6.38
f9H9FvqtTr0,크리스마스 특집 아웃백 먹방입니다!!,"Dec 25, 2024",979,6206,702.4433,2,14344.66,95979,4.77
